x,y,value
-0.76,0.01,-0.90847346
-0.75,0.01,-0.90492494
-0.74,0.01,-0.90124558
-0.73,0.01,-0.89743113
-0.72,0.01,-0.89347723
-0.71,0.01,-0.88937944
-0.7,0.01,-0.88513321
-0.69,0.01,-0.88073392
-0.68,0.01,-0.87617684
-0.67,0.01,-0.87145719
-0.66,0.01,-0.86657008
-0.65,0.01,-0.86151056
-0.64,0.01,-0.8562736
-0.63,0.01,-0.85085414
-0.62,0.01,-0.84524701
-0.61,0.01,-0.83944702
-0.6,0.01,-0.83344893
-0.59,0.01,-0.82724746
-0.58,0.01,-0.82083731
-0.57,0.01,-0.81421316
-0.56,0.01,-0.80736967
-0.55,0.01,-0.80030152
-0.54,0.01,-0.7930034
-0.53,0.01,-0.78547002
-0.52,0.01,-0.77769615
-0.51,0.01,-0.76967659
-0.5,0.01,-0.76140626
-0.49,0.01,-0.75288011
-0.48,0.01,-0.74409324
-0.47,0.01,-0.73504086
-0.46,0.01,-0.72571832
-0.45,0.01,-0.71612115
-0.44,0.01,-0.70624503
-0.43,0.01,-0.69608589
-0.42,0.01,-0.68563986
-0.41,0.01,-0.67490332
-0.4,0.01,-0.66387294
-0.39,0.01,-0.65254567
-0.38,0.01,-0.64091879
-0.37,0.01,-0.62898994
-0.36,0.01,-0.6167571
-0.35,0.01,-0.60421867
-0.34,0.01,-0.59137346
-0.33,0.01,-0.57822072
-0.32,0.01,-0.56476018
-0.31,0.01,-0.55099205
-0.3,0.01,-0.53691707
-0.29,0.01,-0.52253648
-0.28,0.01,-0.5078521
-0.27,0.01,-0.49286634
-0.26,0.01,-0.47758215
-0.25,0.01,-0.46200314
-0.24,0.01,-0.44613351
-0.23,0.01,-0.4299781
-0.22,0.01,-0.41354239
-0.21,0.01,-0.3968325
-0.2,0.01,-0.37985522
-0.19,0.01,-0.36261798
-0.18,0.01,-0.34512886
-0.17,0.01,-0.3273966
-0.16,0.01,-0.30943056
-0.15,0.01,-0.29124074
-0.14,0.01,-0.27283775
-0.13,0.01,-0.25423279
-0.12,0.01,-0.23543765
-0.11,0.01,-0.21646464
-0.1,0.01,-0.19732662
-0.09,0.01,-0.17803693
-0.08,0.01,-0.15860936
-0.07,0.01,-0.13905813
-0.06,0.01,-0.11939783
-0.05,0.01,-0.099643405
-0.04,0.01,-0.079810074
-0.03,0.01,-0.059913318
-0.02,0.01,-0.039968817
-0.01,0.01,-0.0199924
0,0.01,0
0.01,0.01,0.0199924
0.02,0.01,0.039968817
0.03,0.01,0.059913318
0.04,0.01,0.079810074
0.05,0.01,0.099643405
0.06,0.01,0.11939783
0.07,0.01,0.13905813
0.08,0.01,0.15860936
0.09,0.01,0.17803693
0.1,0.01,0.19732662
0.11,0.01,0.21646464
0.12,0.01,0.23543765
0.13,0.01,0.25423279
0.14,0.01,0.27283775
0.15,0.01,0.29124074
0.16,0.01,0.30943056
0.17,0.01,0.3273966
0.18,0.01,0.34512886
0.19,0.01,0.36261798
0.2,0.01,0.37985522
0.21,0.01,0.3968325
0.22,0.01,0.41354239
0.23,0.01,0.4299781
0.24,0.01,0.44613351
0.25,0.01,0.46200314
0.26,0.01,0.47758215
0.27,0.01,0.49286634
0.28,0.01,0.5078521
0.29,0.01,0.52253648
0.3,0.01,0.53691707
0.31,0.01,0.55099205
0.32,0.01,0.56476018
0.33,0.01,0.57822072
0.34,0.01,0.59137346
0.35,0.01,0.60421867
0.36,0.01,0.6167571
0.37,0.01,0.62898994
0.38,0.01,0.64091879
0.39,0.01,0.65254567
0.4,0.01,0.66387294
0.41,0.01,0.67490332
0.42,0.01,0.68563986
0.43,0.01,0.69608589
0.44,0.01,0.70624503
0.45,0.01,0.71612115
0.46,0.01,0.72571832
0.47,0.01,0.73504086
0.48,0.01,0.74409324
0.49,0.01,0.75288011
0.5,0.01,0.76140626
0.51,0.01,0.76967659
0.52,0.01,0.77769615
0.53,0.01,0.78547002
0.54,0.01,0.7930034
0.55,0.01,0.80030152
0.56,0.01,0.80736967
0.57,0.01,0.81421316
0.58,0.01,0.82083731
0.59,0.01,0.82724746
0.6,0.01,0.83344893
0.61,0.01,0.83944702
0.62,0.01,0.84524701
0.63,0.01,0.85085414
0.64,0.01,0.8562736
0.65,0.01,0.86151056
0.66,0.01,0.86657008
0.67,0.01,0.87145719
0.68,0.01,0.87617684
0.69,0.01,0.88073392
0.7,0.01,0.88513321
0.71,0.01,0.88937944
0.72,0.01,0.89347723
0.73,0.01,0.89743113
0.74,0.01,0.90124558
0.75,0.01,0.90492494
0.76,0.01,0.90847346
0.77,0.01,0.91189533
0.78,0.01,0.9151946
0.79,0.01,0.91837526
0.8,0.01,0.92144116
0.81,0.01,0.9243961
0.82,0.01,0.92724374
0.83,0.01,0.92998768
0.84,0.01,0.9326314
0.85,0.01,0.93517829
0.86,0.01,0.93763164
0.87,0.01,0.93999467
0.88,0.01,0.94227047
0.89,0.01,0.94446208
0.9,0.01,0.94657242
0.91,0.01,0.94860433
0.92,0.01,0.95056056
0.93,0.01,0.9524438
0.94,0.01,0.95425662
0.95,0.01,0.95600154
0.96,0.01,0.95768097
0.97,0.01,0.95929727
0.98,0.01,0.96085271
0.99,0.01,0.96234949
1,0.01,0.96378974
-1,0.02,-0.96307644
-0.99,0.02,-0.96163726
-0.98,0.02,-0.96014159
-0.97,0.02,-0.9585873
-0.96,0.02,-0.95697219
-0.95,0.02,-0.955294
-0.94,0.02,-0.95355038
-0.93,0.02,-0.9517389
-0.92,0.02,-0.94985705
-0.91,0.02,-0.94790227
-0.9,0.02,-0.94587186
-0.89,0.02,-0.94376309
-0.88,0.02,-0.9415731
-0.87,0.02,-0.93929898
-0.86,0.02,-0.9369377
-0.85,0.02,-0.93448616
-0.84,0.02,-0.93194116
-0.83,0.02,-0.9292994
-0.82,0.02,-0.92655749
-0.81,0.02,-0.92371195
-0.8,0.02,-0.9207592
-0.79,0.02,-0.91769557
-0.78,0.02,-0.91451727
-0.77,0.02,-0.91122044
-0.76,0.02,-0.9078011
-0.75,0.02,-0.9042552
-0.74,0.02,-0.90057857
-0.73,0.02,-0.89676694
-0.72,0.02,-0.89281597
-0.71,0.02,-0.88872121
-0.7,0.02,-0.88447813
-0.69,0.02,-0.88008209
-0.68,0.02,-0.87552839
-0.67,0.02,-0.87081222
-0.66,0.02,-0.86592873
-0.65,0.02,-0.86087295
-0.64,0.02,-0.85563988
-0.63,0.02,-0.85022442
-0.62,0.02,-0.84462144
-0.61,0.02,-0.83882574
-0.6,0.02,-0.83283209
-0.59,0.02,-0.82663522
-0.58,0.02,-0.82022981
-0.57,0.02,-0.81361056
-0.56,0.02,-0.80677214
-0.55,0.02,-0.79970922
-0.54,0.02,-0.7924165
-0.53,0.02,-0.78488869
-0.52,0.02,-0.77712057
-0.51,0.02,-0.76910696
-0.5,0.02,-0.76084274
-0.49,0.02,-0.7523229
-0.48,0.02,-0.74354254
-0.47,0.02,-0.73449686
-0.46,0.02,-0.72518122
-0.45,0.02,-0.71559115
-0.44,0.02,-0.70572234
-0.43,0.02,-0.69557072
-0.42,0.02,-0.68513242
-0.41,0.02,-0.67440383
-0.4,0.02,-0.66338161
-0.39,0.02,-0.65206272
-0.38,0.02,-0.64044445
-0.37,0.02,-0.62852442
-0.36,0.02,-0.61630064
-0.35,0.02,-0.60377149
-0.34,0.02,-0.59093578
-0.33,0.02,-0.57779278
-0.32,0.02,-0.5643422
-0.31,0.02,-0.55058427
-0.3,0.02,-0.53651969
-0.29,0.02,-0.52214975
-0.28,0.02,-0.50747624
-0.27,0.02,-0.49250157
-0.26,0.02,-0.4772287
-0.25,0.02,-0.46166122
-0.24,0.02,-0.44580333
-0.23,0.02,-0.42965987
-0.22,0.02,-0.41323633
-0.21,0.02,-0.39653881
-0.2,0.02,-0.37957409
-0.19,0.02,-0.36234961
-0.18,0.02,-0.34487343
-0.17,0.02,-0.32715429
-0.16,0.02,-0.30920155
-0.15,0.02,-0.29102519
-0.14,0.02,-0.27263582
-0.13,0.02,-0.25404464
-0.12,0.02,-0.2352634
-0.11,0.02,-0.21630444
-0.1,0.02,-0.19718058
-0.09,0.02,-0.17790517
-0.08,0.02,-0.15849198
-0.07,0.02,-0.13895521
-0.06,0.02,-0.11930947
-0.05,0.02,-0.099569659
-0.04,0.02,-0.079751006
-0.03,0.02,-0.059868976
-0.02,0.02,-0.039939236
-0.01,0.02,-0.019977604
0,0.02,0
0.01,0.02,0.019977604
0.02,0.02,0.039939236
0.03,0.02,0.059868976
0.04,0.02,0.079751006
0.05,0.02,0.099569659
0.06,0.02,0.11930947
0.07,0.02,0.13895521
0.08,0.02,0.15849198
0.09,0.02,0.17790517
0.1,0.02,0.19718058
0.11,0.02,0.21630444
0.12,0.02,0.2352634
0.13,0.02,0.25404464
0.14,0.02,0.27263582
0.15,0.02,0.29102519
0.16,0.02,0.30920155
0.17,0.02,0.32715429
0.18,0.02,0.34487343
0.19,0.02,0.36234961
0.2,0.02,0.37957409
0.21,0.02,0.39653881
0.22,0.02,0.41323633
0.23,0.02,0.42965987
0.24,0.02,0.44580333
0.25,0.02,0.46166122
0.26,0.02,0.4772287
0.27,0.02,0.49250157
0.28,0.02,0.50747624
0.29,0.02,0.52214975
0.3,0.02,0.53651969
0.31,0.02,0.55058427
0.32,0.02,0.5643422
0.33,0.02,0.57779278
0.34,0.02,0.59093578
0.35,0.02,0.60377149
0.36,0.02,0.61630064
0.37,0.02,0.62852442
0.38,0.02,0.64044445
0.39,0.02,0.65206272
0.4,0.02,0.66338161
0.41,0.02,0.67440383
0.42,0.02,0.68513242
0.43,0.02,0.69557072
0.44,0.02,0.70572234
0.45,0.02,0.71559115
0.46,0.02,0.72518122
0.47,0.02,0.73449686
0.48,0.02,0.74354254
0.49,0.02,0.7523229
0.5,0.02,0.76084274
0.51,0.02,0.76910696
0.52,0.02,0.77712057
0.53,0.02,0.78488869
0.54,0.02,0.7924165
0.55,0.02,0.79970922
0.56,0.02,0.80677214
0.57,0.02,0.81361056
0.58,0.02,0.82022981
0.59,0.02,0.82663522
0.6,0.02,0.83283209
0.61,0.02,0.83882574
0.62,0.02,0.84462144
0.63,0.02,0.85022442
0.64,0.02,0.85563988
0.65,0.02,0.86087295
0.66,0.02,0.86592873
0.67,0.02,0.87081222
0.68,0.02,0.87552839
0.69,0.02,0.88008209
0.7,0.02,0.88447813
0.71,0.02,0.88872121
0.72,0.02,0.89281597
0.73,0.02,0.89676694
0.74,0.02,0.90057857
0.75,0.02,0.9042552
0.76,0.02,0.9078011
0.77,0.02,0.91122044
0.78,0.02,0.91451727
0.79,0.02,0.91769557
0.8,0.02,0.9207592
0.81,0.02,0.92371195
0.82,0.02,0.92655749
0.83,0.02,0.9292994
0.84,0.02,0.93194116
0.85,0.02,0.93448616
0.86,0.02,0.9369377
0.87,0.02,0.93929898
0.88,0.02,0.9415731
0.89,0.02,0.94376309
0.9,0.02,0.94587186
0.91,0.02,0.94790227
0.92,0.02,0.94985705
0.93,0.02,0.9517389
0.94,0.02,0.95355038
0.95,0.02,0.955294
0.96,0.02,0.95697219
0.97,0.02,0.9585873
0.98,0.02,0.96014159
0.99,0.02,0.96163726
1,0.02,0.96307644
-1,0.03,-0.96188839
-0.99,0.03,-0.96045098
-0.98,0.03,-0.95895716
-0.97,0.03,-0.95740478
-0.96,0.03,-0.95579167
-0.95,0.03,-0.95411555
-0.94,0.03,-0.95237408
-0.93,0.03,-0.95056483
-0.92,0.03,-0.94868531
-0.91,0.03,-0.94673293
-0.9,0.03,-0.94470503
-0.89,0.03,-0.94259886
-0.88,0.03,-0.94041158
-0.87,0.03,-0.93814026
-0.86,0.03,-0.9357819
-0.85,0.03,-0.93333338
-0.84,0.03,-0.93079152
-0.83,0.03,-0.92815301
-0.82,0.03,-0.92541449
-0.81,0.03,-0.92257246
-0.8,0.03,-0.91962336
-0.79,0.03,-0.9165635
-0.78,0.03,-0.91338912
-0.77,0.03,-0.91009636
-0.76,0.03,-0.90668124
-0.75,0.03,-0.90313971
-0.74,0.03,-0.89946761
-0.73,0.03,-0.89566069
-0.72,0.03,-0.8917146
-0.71,0.03,-0.88762489
-0.7,0.03,-0.88338704
-0.69,0.03,-0.87899642
-0.68,0.03,-0.87444834
-0.67,0.03,-0.86973799
-0.66,0.03,-0.86486052
-0.65,0.03,-0.85981098
-0.64,0.03,-0.85458436
-0.63,0.03,-0.84917558
-0.62,0.03,-0.84357951
-0.61,0.03,-0.83779097
-0.6,0.03,-0.83180471
-0.59,0.03,-0.82561548
-0.58,0.03,-0.81921798
-0.57,0.03,-0.81260689
-0.56,0.03,-0.80577691
-0.55,0.03,-0.7987227
-0.54,0.03,-0.79143897
-0.53,0.03,-0.78392046
-0.52,0.03,-0.77616192
-0.51,0.03,-0.76815819
-0.5,0.03,-0.75990417
-0.49,0.03,-0.75139484
-0.48,0.03,-0.7426253
-0.47,0.03,-0.73359078
-0.46,0.03,-0.72428664
-0.45,0.03,-0.71470839
-0.44,0.03,-0.70485176
-0.43,0.03,-0.69471266
-0.42,0.03,-0.68428724
-0.41,0.03,-0.67357188
-0.4,0.03,-0.66256326
-0.39,0.03,-0.65125834
-0.38,0.03,-0.6396544
-0.37,0.03,-0.62774908
-0.36,0.03,-0.61554037
-0.35,0.03,-0.60302667
-0.34,0.03,-0.5902068
-0.33,0.03,-0.57708001
-0.32,0.03,-0.56364603
-0.31,0.03,-0.54990507
-0.3,0.03,-0.53585784
-0.29,0.03,-0.52150563
-0.28,0.03,-0.50685022
-0.27,0.03,-0.49189402
-0.26,0.03,-0.47663999
-0.25,0.03,-0.46109171
-0.24,0.03,-0.44525339
-0.23,0.03,-0.42912985
-0.22,0.03,-0.41272656
-0.21,0.03,-0.39604964
-0.2,0.03,-0.37910585
-0.19,0.03,-0.36190261
-0.18,0.03,-0.344448
-0.17,0.03,-0.32675072
-0.16,0.03,-0.30882012
-0.15,0.03,-0.29066618
-0.14,0.03,-0.2722995
-0.13,0.03,-0.25373125
-0.12,0.03,-0.23497318
-0.11,0.03,-0.2160376
-0.1,0.03,-0.19693734
-0.09,0.03,-0.1776857
-0.08,0.03,-0.15829646
-0.07,0.03,-0.1387838
-0.06,0.03,-0.11916229
-0.05,0.03,-0.09944683
-0.04,0.03,-0.079652625
-0.03,0.03,-0.059795122
-0.02,0.03,-0.039889967
-0.01,0.03,-0.019952959
0,0.03,0
0.01,0.03,0.019952959
0.02,0.03,0.039889967
0.03,0.03,0.059795122
0.04,0.03,0.079652625
0.05,0.03,0.09944683
0.06,0.03,0.11916229
0.07,0.03,0.1387838
0.08,0.03,0.15829646
0.09,0.03,0.1776857
0.1,0.03,0.19693734
0.11,0.03,0.2160376
0.12,0.03,0.23497318
0.13,0.03,0.25373125
0.14,0.03,0.2722995
0.15,0.03,0.29066618
0.16,0.03,0.30882012
0.17,0.03,0.32675072
0.18,0.03,0.344448
0.19,0.03,0.36190261
0.2,0.03,0.37910585
0.21,0.03,0.39604964
0.22,0.03,0.41272656
0.23,0.03,0.42912985
0.24,0.03,0.44525339
0.25,0.03,0.46109171
0.26,0.03,0.47663999
0.27,0.03,0.49189402
0.28,0.03,0.50685022
0.29,0.03,0.52150563
0.3,0.03,0.53585784
0.31,0.03,0.54990507
0.32,0.03,0.56364603
0.33,0.03,0.57708001
0.34,0.03,0.5902068
0.35,0.03,0.60302667
0.36,0.03,0.61554037
0.37,0.03,0.62774908
0.38,0.03,0.6396544
0.39,0.03,0.65125834
0.4,0.03,0.66256326
0.41,0.03,0.67357188
0.42,0.03,0.68428724
0.43,0.03,0.69471266
0.44,0.03,0.70485176
0.45,0.03,0.71470839
0.46,0.03,0.72428664
0.47,0.03,0.73359078
0.48,0.03,0.7426253
0.49,0.03,0.75139484
0.5,0.03,0.75990417
0.51,0.03,0.76815819
0.52,0.03,0.77616192
0.53,0.03,0.78392046
0.54,0.03,0.79143897
0.55,0.03,0.7987227
0.56,0.03,0.80577691
0.57,0.03,0.81260689
0.58,0.03,0.81921798
0.59,0.03,0.82561548
0.6,0.03,0.83180471
0.61,0.03,0.83779097
0.62,0.03,0.84357951
0.63,0.03,0.84917558
0.64,0.03,0.85458436
0.65,0.03,0.85981098
0.66,0.03,0.86486052
0.67,0.03,0.86973799
0.68,0.03,0.87444834
0.69,0.03,0.87899642
0.7,0.03,0.88338704
0.71,0.03,0.88762489
0.72,0.03,0.8917146
0.73,0.03,0.89566069
0.74,0.03,0.89946761
0.75,0.03,0.90313971
0.76,0.03,0.90668124
0.77,0.03,0.91009636
0.78,0.03,0.91338912
0.79,0.03,0.9165635
0.8,0.03,0.91962336
0.81,0.03,0.92257246
0.82,0.03,0.92541449
0.83,0.03,0.92815301
0.84,0.03,0.93079152
0.85,0.03,0.93333338
0.86,0.03,0.9357819
0.87,0.03,0.93814026
0.88,0.03,0.94041158
0.89,0.03,0.94259886
0.9,0.03,0.94470503
0.91,0.03,0.94673293
0.92,0.03,0.94868531
0.93,0.03,0.95056483
0.94,0.03,0.95237408
0.95,0.03,0.95411555
0.96,0.03,0.95579167
0.97,0.03,0.95740478
0.98,0.03,0.95895716
0.99,0.03,0.96045098
1,0.03,0.96188839
-1,0.04,-0.96022676
-0.99,0.04,-0.95879184
-0.98,0.04,-0.95730059
-0.97,0.04,-0.9557509
-0.96,0.04,-0.95414057
-0.95,0.04,-0.95246735
-0.94,0.04,-0.95072889
-0.93,0.04,-0.94892277
-0.92,0.04,-0.94704649
-0.91,0.04,-0.94509749
-0.9,0.04,-0.94307309
-0.89,0.04,-0.94097055
-0.88,0.04,-0.93878705
-0.87,0.04,-0.93651966
-0.86,0.04,-0.93416537
-0.85,0.04,-0.93172108
-0.84,0.04,-0.92918361
-0.83,0.04,-0.92654966
-0.82,0.04,-0.92381587
-0.81,0.04,-0.92097875
-0.8,0.04,-0.91803474
-0.79,0.04,-0.91498017
-0.78,0.04,-0.91181127
-0.77,0.04,-0.9085242
-0.76,0.04,-0.90511498
-0.75,0.04,-0.90157957
-0.74,0.04,-0.89791382
-0.73,0.04,-0.89411347
-0.72,0.04,-0.89017419
-0.71,0.04,-0.88609155
-0.7,0.04,-0.88186102
-0.69,0.04,-0.87747799
-0.68,0.04,-0.87293776
-0.67,0.04,-0.86823555
-0.66,0.04,-0.8633665
-0.65,0.04,-0.85832569
-0.64,0.04,-0.8531081
-0.63,0.04,-0.84770866
-0.62,0.04,-0.84212226
-0.61,0.04,-0.83634371
-0.6,0.04,-0.8303678
-0.59,0.04,-0.82418926
-0.58,0.04,-0.81780281
-0.57,0.04,-0.81120314
-0.56,0.04,-0.80438496
-0.55,0.04,-0.79734293
-0.54,0.04,-0.79007179
-0.53,0.04,-0.78256626
-0.52,0.04,-0.77482113
-0.51,0.04,-0.76683122
-0.5,0.04,-0.75859146
-0.49,0.04,-0.75009683
-0.48,0.04,-0.74134244
-0.47,0.04,-0.73232353
-0.46,0.04,-0.72303546
-0.45,0.04,-0.71347376
-0.44,0.04,-0.70363416
-0.43,0.04,-0.69351257
-0.42,0.04,-0.68310516
-0.41,0.04,-0.67240831
-0.4,0.04,-0.66141871
-0.39,0.04,-0.65013331
-0.38,0.04,-0.63854942
-0.37,0.04,-0.62666466
-0.36,0.04,-0.61447705
-0.35,0.04,-0.60198497
-0.34,0.04,-0.58918724
-0.33,0.04,-0.57608313
-0.32,0.04,-0.56267235
-0.31,0.04,-0.54895512
-0.3,0.04,-0.53493217
-0.29,0.04,-0.52060474
-0.28,0.04,-0.50597466
-0.27,0.04,-0.49104429
-0.26,0.04,-0.47581661
-0.25,0.04,-0.46029519
-0.24,0.04,-0.44448423
-0.23,0.04,-0.42838854
-0.22,0.04,-0.41201359
-0.21,0.04,-0.39536547
-0.2,0.04,-0.37845096
-0.19,0.04,-0.36127744
-0.18,0.04,-0.34385298
-0.17,0.04,-0.32618627
-0.16,0.04,-0.30828664
-0.15,0.04,-0.29016407
-0.14,0.04,-0.27182911
-0.13,0.04,-0.25329293
-0.12,0.04,-0.23456727
-0.11,0.04,-0.21566441
-0.1,0.04,-0.19659714
-0.09,0.04,-0.17737876
-0.08,0.04,-0.15802301
-0.07,0.04,-0.13854406
-0.06,0.04,-0.11895644
-0.05,0.04,-0.099275039
-0.04,0.04,-0.079515028
-0.03,0.04,-0.059691828
-0.02,0.04,-0.039821058
-0.01,0.04,-0.019918491
0,0.04,0
0.01,0.04,0.019918491
0.02,0.04,0.039821058
0.03,0.04,0.059691828
0.04,0.04,0.079515028
0.05,0.04,0.099275039
0.06,0.04,0.11895644
0.07,0.04,0.13854406
0.08,0.04,0.15802301
0.09,0.04,0.17737876
0.1,0.04,0.19659714
0.11,0.04,0.21566441
0.12,0.04,0.23456727
0.13,0.04,0.25329293
0.14,0.04,0.27182911
0.15,0.04,0.29016407
0.16,0.04,0.30828664
0.17,0.04,0.32618627
0.18,0.04,0.34385298
0.19,0.04,0.36127744
0.2,0.04,0.37845096
0.21,0.04,0.39536547
0.22,0.04,0.41201359
0.23,0.04,0.42838854
0.24,0.04,0.44448423
0.25,0.04,0.46029519
0.26,0.04,0.47581661
0.27,0.04,0.49104429
0.28,0.04,0.50597466
0.29,0.04,0.52060474
0.3,0.04,0.53493217
0.31,0.04,0.54895512
0.32,0.04,0.56267235
0.33,0.04,0.57608313
0.34,0.04,0.58918724
0.35,0.04,0.60198497
0.36,0.04,0.61447705
0.37,0.04,0.62666466
0.38,0.04,0.63854942
0.39,0.04,0.65013331
0.4,0.04,0.66141871
0.41,0.04,0.67240831
0.42,0.04,0.68310516
0.43,0.04,0.69351257
0.44,0.04,0.70363416
0.45,0.04,0.71347376
0.46,0.04,0.72303546
0.47,0.04,0.73232353
0.48,0.04,0.74134244
0.49,0.04,0.75009683
0.5,0.04,0.75859146
0.51,0.04,0.76683122
0.52,0.04,0.77482113
0.53,0.04,0.78256626
0.54,0.04,0.79007179
0.55,0.04,0.79734293
